norad_id,satellite_name,collision_probability,risk_class,risk_label,altitude_km,velocity_mag_km_s,lstm_pred_alt_km,lstm_risk_score,dist_evolution
18960,IRS 1A,0.3584,1,Medium,923.9638727990941,7.388287260213019,923.9638727990941,0.0010127928512109433,26.776573500414997
8473,COSMOS 785,0.3581,1,Medium,933.039624825662,7.404801657424593,933.039624825662,0.0010137953841674752,23.596333725977274
15005,COSMOS 1566,0.3581,1,Medium,1423.2277593384533,7.160767865386296,775.73,0.0010463204193716673,9.872591061910498
729,SECOR 1B,0.3581,1,Medium,915.1888140375559,7.398927169024979,915.1888140375559,0.0010154728840913677,4.142351653496007
1291,SOLRAD 7B,0.3579,1,Medium,912.3490437620321,7.397179458280028,912.3490437620321,0.0010156288561531304,0.7071381964433385
10702,LANDSAT 3,0.3579,1,Medium,911.9849423436444,7.39182581295156,911.9849423436444,0.0010149445414853338,4.349847973007854
4257,TIMATION 2,0.3579,1,Medium,917.8698759549234,7.388641280224193,917.8698759549234,0.00101368818568135,14.76247997012615
17535,COSMOS 1823,0.3577,1,Medium,1523.0108970164029,7.097011623222341,193.49,0.001050069224372415,7.151367186099378
2874,OPS 5712 (P/L 153),0.3576,1,Medium,913.691460693809,7.396514571850379,913.691460693809,0.0010153504251703641,0.21651194522110018
4295,OPS 7613 (P/L 6),0.3575,1,Medium,914.4083150526922,7.393545739005948,914.4083150526922,0.00101484301486985,3.3039447527526136
2834,GGSE 5,0.3574,1,Medium,914.0369325994343,7.395094605182614,914.0369325994343,0.001015107359592192,0.4355136462409064
14613,COSMOS 1524,0.3571,1,Medium,1429.462077901765,7.157237401057897,576.37,0.0010458849337247362,6.701284786493488
58,COURIER 1B,0.357,1,Medium,969.8320462822439,7.430036151071742,969.8320462822439,0.001012151770293488,44.134711109511954
12319,COSMOS 1249,0.357,1,Medium,927.7624259229542,7.402417881800176,927.7624259229542,0.0010142017851559422,10.726521183671139
5721,COSMOS 469,0.3569,1,Medium,942.2905738885702,7.399676493965124,942.2905738885702,0.001011812182109239,31.29736124453939
20045,COSMOS 2026,0.3548,1,Medium,949.4219636097259,7.391463418708977,949.4219636097259,0.001009704557394697,31.242242320608966
12409,COSMOS 1266,0.3545,1,Medium,949.912789471915,7.3698640596342075,949.912789471915,0.00100668649819633,46.960067606813936
16735,METEOR 2-14,0.3542,1,Medium,937.4935211661432,7.3881739539697495,937.4935211661432,0.0010109024428321437,14.008390942957703
17070,POLAR BEAR,0.3541,1,Medium,950.078840108431,7.3916420901124535,950.078840108431,0.00100963836772491,27.212376769665752
15085,COSMOS 1579,0.354,1,Medium,934.9037004197517,7.390093961015178,934.9037004197517,0.0010115235929800976,7.859309083304652
9494,COSMOS 861,0.3537,1,Medium,957.0315665445551,7.376639535950906,957.0315665445551,0.0010066331550246407,45.17649740271463
15930,COSMOS 1670,0.3533,1,Medium,956.7181042898237,7.377238248953398,956.7181042898237,0.0010067579216283694,41.36469601265526
3081,COSMOS 198,0.3531,1,Medium,939.3829514464296,7.373231299927461,939.3829514464296,0.0010085971349105037,20.00984229730875
12087,COSMOS 1225,0.3529,1,Medium,958.5986505689043,7.39265214832796,958.5986505689043,0.0010086025853208432,28.342485033150297
8836,SSU 2,0.3527,1,Medium,1036.895960359393,7.2937985073412195,1036.895960359393,0.0009845978596852974,201.86334045733747
11788,COSMOS 1176,0.3524,1,Medium,961.9291962818415,7.3499816418190465,961.9291962818415,0.001002325461637602,62.91578045595725
7291,COSMOS 651,0.3524,1,Medium,946.6169190514838,7.365054277813572,946.6169190514838,0.001006482623958981,30.554955845656878
4564,COSMOS 367,0.3518,1,Medium,954.9469734831882,7.388422178386466,954.9469734831882,0.0010085279357234514,19.218208538299223
