satellite_name,norad_id,horizon_h,future_x_km,future_y_km,future_z_km,vel_x_km_s,vel_y_km_s,vel_z_km_s,altitude_km,velocity_mag_km_s,sgp4_risk_score
COSMOS 209,3158,6,6285.666,1013.3772,3566.3926,-3.670266,2.984221,5.66724,926.6493880132803,7.382007633780732,0.0010115596463028237
COSMOS 209,3158,12,-6433.3886,-793.1914,-3278.7539,3.385879,-3.076381,-5.837355,893.1495450196462,7.416401422241584,0.0010209593533666063
COSMOS 209,3158,24,-6657.9314,-431.7729,-2877.4266,2.854771,-3.190869,-6.053992,894.9522571145435,7.41499707172336,0.001020512770980965
COSMOS 220,3229,1,-4006.3959,5322.6252,-2107.1593,-0.42733,-3.06165,-6.90456,616.2503492281094,7.565002342696267,0.0010826866026822672
COSMOS 220,3229,6,-3638.1081,3197.4314,-5036.0331,1.772062,-5.554193,-4.814016,616.2045547047765,7.560688702846388,0.001082076335915407
COSMOS 220,3229,12,-378.1421,3881.2079,5817.6947,-4.238136,5.046791,-3.665596,632.7374189230504,7.5411199557753354,0.001076727967470676
COSMOS 220,3229,24,-1960.8039,-439.991,-6699.9278,3.588334,-6.610481,-0.635803,623.8106864695819,7.548433307761684,0.0010791476204442534
OPS 7869 (DMSP 4B F1),3266,1,1885.7965,-1163.2097,-6916.2169,3.331385,-6.287503,1.957567,891.4611154505992,7.379897597712519,0.001016170342311655
OPS 7869 (DMSP 4B F1),3266,6,747.5836,858.3089,-7168.3642,3.790614,-6.324824,-0.382146,887.1692395982209,7.383643321104291,0.0010172872906877846
OPS 7869 (DMSP 4B F1),3266,12,-1556.9489,561.8675,6979.5137,-3.584467,6.420199,-1.325272,802.1022893344525,7.47152626627746,0.0010416031955081317
OPS 7869 (DMSP 4B F1),3266,24,-2999.7547,3321.2325,5608.1612,-2.485192,5.412383,-4.51352,803.9972560561846,7.472745934792176,0.0010414980895615913
EXPLORER 40 (INJUN-5),3338,1,-4606.6159,3903.6347,3862.4812,2.460818,-4.05642,6.213969,796.847301772711,7.818157019303526,0.001090725944645889
EXPLORER 40 (INJUN-5),3338,6,4063.1424,-2495.5808,-7460.217,-3.283519,4.251286,-3.322966,2482.9193230509736,6.316409796261876,0.0007134026825631051
EXPLORER 40 (INJUN-5),3338,12,2567.4539,-698.7536,-8433.959,-4.042659,4.636524,-1.463778,2472.7401892988237,6.3232185337959805,0.0007149937015842295
EXPLORER 40 (INJUN-5),3338,24,-952.0556,2945.1413,-7956.4795,-4.405619,4.091866,2.658134,2166.3200230738275,6.574079593150131,0.000770040197085544
ESSA 7 (TOS-E),3345,1,1398.3024,-843.2645,7670.6947,-1.921334,-6.843045,-0.396303,1471.5698466391805,7.11869688070717,0.0009076995194066119
ESSA 7 (TOS-E),3345,6,240.0841,5412.2424,-5636.3131,2.281966,4.838677,4.735565,1446.8023467379999,7.144630137712518,0.0009138923985068048
ESSA 7 (TOS-E),3345,12,1970.0664,7574.3692,-3.5655,1.387234,-0.345896,6.996212,1455.3812270491817,7.140801394977737,0.0009124014263831189
ESSA 7 (TOS-E),3345,24,1376.5573,-953.5409,7661.9755,-1.832119,-6.859025,-0.519443,1471.8323207089124,7.118476312458657,0.0009076410181131119
COSMOS 249,3504,1,-1777.0857,3535.9893,6045.6642,-4.400361,-5.594569,2.742861,854.7393762867359,7.627952916176331,0.001055663997681617
COSMOS 249,3504,6,4340.0699,2328.0974,-5351.4368,0.722459,6.263369,4.21177,901.8343900550226,7.582265147681265,0.0010425461025276972
COSMOS 249,3504,12,17.0005,5270.6809,4641.6781,-4.850344,-3.705979,4.913268,652.2144884407935,7.835835609978109,0.0011157050126939414
COSMOS 249,3504,24,-1650.5125,-7204.7394,-3892.4349,4.000329,2.011816,-4.826969,1982.652541571657,6.584046282724477,0.0007881637702740451
OPS 4078 (DMSP 4B F2),3510,1,3627.5709,3168.7403,-5324.619,-2.955565,-4.776371,-4.889103,808.9549593665206,7.446637666992735,0.0010371426713865826
OPS 4078 (DMSP 4B F2),3510,6,4031.4435,3894.8271,-4480.6986,-2.284208,-4.18158,-5.729661,805.2716487482976,7.451995213269061,0.0010384215617825526
OPS 4078 (DMSP 4B F2),3510,12,-2780.3386,-1937.5084,6314.2678,3.785419,5.501306,3.32264,795.184436702516,7.458800257467484,0.0010408328620829656
OPS 4078 (DMSP 4B F2),3510,24,934.8187,2767.5243,6526.4579,4.614283,5.144223,-2.84899,779.3656880912458,7.4747161750743425,0.0010453613844566432
COSMOS 252,3530,1,3933.1223,-5864.4903,276.4003,2.592052,2.6388,6.87869,695.6890855188667,7.810145653366779,0.0011052057843285352
COSMOS 252,3530,6,-4598.4659,440.5944,-6969.8928,2.609469,-5.812542,-1.687867,1990.7831652265413,6.591196247527,0.0007882524716662428
COSMOS 252,3530,12,1439.7659,-6222.8048,-3864.7312,4.486274,-1.623448,5.672025,1094.4117551518411,7.411754543453594,0.000992812558307823
COSMOS 252,3530,24,-1506.0532,6586.2207,3856.89,-4.490804,2.654468,-4.83895,1408.5950937332673,7.115402872075481,0.0009146238057822808
COSMOS 256,3576,1,2270.1955,2091.0945,-6907.7732,-6.909096,0.286408,-2.206009,1194.9628864268652,7.258382243155908,0.0009593467945999644
COSMOS 256,3576,6,7057.7041,-447.3051,2657.3975,2.569292,1.976354,-6.513118,1183.6694493305968,7.275159283239371,0.0009630016683104523
COSMOS 256,3576,12,735.3843,2098.898,-7236.9587,-7.211554,-0.052421,-0.771618,1199.9797324121919,7.252906548004116,0.0009579878436279033
COSMOS 256,3576,24,2959.5796,-1847.217,6713.6584,6.670263,0.93809,-2.704924,1195.0115758380734,7.258721318734106,0.0009593854365640553
OAO 2,3597,1,-1848.1912,-6600.3404,-1894.438,6.411408,-0.709523,-3.806802,740.2023908389501,7.490081234352335,0.0010532791534665752
OAO 2,3597,6,-1208.5155,-6609.725,-2330.1265,6.606036,0.029186,-3.527768,740.8537523888599,7.489039358804038,0.0010530361871246975
OAO 2,3597,12,-3410.7636,4778.7974,4001.9519,-5.729374,-4.764116,0.79702,734.3382702898343,7.4938487156955595,0.0010546786698432413
OAO 2,3597,24,-5685.3,-4188.1473,803.2797,3.273969,-5.262153,-4.215223,735.9312767839101,7.49514723992124,0.0010546249777883049
OPS 7684,3605,1,7417.1549,-2114.5028,1121.9584,1.278293,0.893763,-6.983712,1422.8501110255138,7.155772396671235,0.0009181306151305596
OPS 7684,3605,6,-6209.5875,799.5871,4701.3924,3.944198,-2.010737,5.576861,1458.5215019450852,7.120473282001274,0.0009094391375299675
OPS 7684,3605,12,-180.8086,-1308.9009,7718.7772,6.881064,-1.8001,-0.15608,1460.0557895531956,7.11433501801089,0.0009084771209907064
OPS 7684,3605,24,7195.418,-1521.1543,-2528.5815,-2.00688,1.721223,-6.665385,1405.9965283054316,7.170602007387804,0.0009220271580795269
ESSA 8 (TOS-F),3615,1,-638.3671,1901.1666,-7587.2548,4.017723,5.75702,1.112163,1476.8266032985857,7.107902920249966,0.0009057161019921597
ESSA 8 (TOS-F),3615,6,-2478.7098,-5661.3381,4760.4907,-3.378596,-3.152398,-5.462624,1430.0911454689558,7.154913350069028,0.0009171682802635575
